,Notation,Name
359,15-Ph-15:0,15-Phenylpentadecanoic acid
360,OH-20:2,Hydroxyeicosadienoic acid; structure ambiguous
361,21:1,Heneicosenoic acid; structure ambiguous
362,"14,15-O-20:1-delta-11c","11-Tridecenoic acid, 13-[(2S,3R)-3-pentyloxiranyl]-, (11Z)-; 11-Tridecenoic acid, 13-(3-pentyloxiranyl)-, [2S-[2-alpha-(Z),3-alpha-]]-; Alchornoic acid"
363,"14-OH-20:2-delta-11c,17c","11,17-Eicosadienoic acid, 14-hydroxy-, (11Z,14R,17Z)-; Auricolic acid; 11,17-Eicosadienoic acid, 14-hydroxy-, [R-(Z,Z)]-; Auricolic acid"
364,OH-20:1,Hydroxyeicosenoic acid; structure ambiguous
365,R-14-OH-20:1-delta-11c,"11-Eicosenoic acid, 14-hydroxy-, (11Z,14R)-; Lesquerolic acid; 11-Eicosenoic acid, 14-hydroxy-, (Z)-D-(+)-; 11-Eicosenoic acid, 14-hydroxy-, [R-(Z)]-; Lesquerolic acid"
366,21:0,Heneicosanoic acid; Heneicosylic acid; n-Heneicosanoic acid
367,18-Me-20:0,"Eicosanoic acid, 18-methyl-; 18-methylicosanoic acid;Anteisoheneicosanoic acid;18-Methyleicosanoic acid;(+)-18-methyl-icosanoic acid;(+)-18-methyl-eicosanoic acid; Methylarachi..."
368,"22:6-delta-4c,7c,10c,13c,16c,19c","4,7,10,13,16,19-Docosahexaenoic acid, (4Z,7Z,10Z,13Z,16Z,19Z)-; 4,7,10,13,16,19-Docosahexaenoic acid, (all-Z)-; Docosahexaenoic acid; (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-Docosahexaenoic acid; (4Z,7Z,10Z,13Z,..."
369,18-COOH-18:0,"Nonadecandioic acid; Nonadecanedioic acid;6250-70-0;1,19-Nonadecanedioic acid;NONADECANEDIOICACID"
370,"9,10,18-tri-OH-18:1-delta-12c","12-Octadecenoic acid, 9,10,18-trihydroxy-, (12Z)-; 9,10,18-Trihydroxyoctadec-12-enoic acid"
371,"22:5-delta-7c,10c,13c,16c,19c","7,10,13,16,19-Docosapentaenoic acid, (Z,Z,Z,Z,Z)-"
372,20-F-20:0,"Eicosanoic acid, 20-fluoro-"
373,"9,10,18-tri-OH-18:0","Octadecanoic acid, 9,10,18-trihydroxy-; Octadecanoic acid, 9,10,18-trihydroxy-, threo-(+)-; (+)-threo-9,10,18-Trihydroxyoctadecanoic acid; Aleutiric acid; Floionolic acid; Phloionolic acid"
374,"22:4-delta-7c,10c,13c,16c","Z,Z,Z,Z-7,10,13,16-Docosatetraenoic acid; Adrenic acid"
375,22:3,Docosatrienoic acid; structure ambiguous
376,"22:3-delta-5c,13c,16c","5,13,16-Docosatrienoic acid, (5Z,13Z,16Z)-; Eranthic acid; Eranthic acid"
377,"22:3-delta-10c,13c,16c","10,13,16-Docosatrienoic acid"
378,"22:3-delta-13c,16c,19c","13,16,19-Docosatrienoic acid, (13Z,16Z,19Z)-; 13,16,19-Docosatrienoic acid, (Z,Z,Z)-; cis-13,cis-16,cis-19-Docosatrienoic acid"
379,"22:3-delta-3t,13c,16c","E,Z,Z-3,13,16-Docosatrienoic acid"
380,CN-III-16:0,"Hexadecanoic acid, 3-cyano-2-methyl-2-propen-1-yl ester; Type III cyanolipid 16:0 ester"
381,22:2,Docosadienoic acid; structure ambiguous
382,"22:2-delta-5c,13c","5,13-Docosadienoic acid, (5Z,13Z)-; 5,13-Docosadienoic acid, (Z,Z)-; cis-5-cis-13-Docosadienoic acid"
383,"22:2-delta-13c,16c","13,16-Docosadienoic acid, (13Z,16Z)-; 13,16-Docosadienoic acid, (Z,Z)-; cis-13,cis-16-Docosadienoic acid"
384,"22:2-delta-9,12","9,12-Docosadienoic acid; structure ambiguous: double bond configuration not specified"
385,22:1,Docosenoic acid; structure ambiguous
386,22:1-delta-11c,"11-Docosenoic acid, (11Z)-; Cetoleic acid; 11-Docosenoic acid, (Z)-; 11-Docosenoic acid, cis-; Cetoleic acid; (11Z)-11-Docosenoic acid; (Z)-11-Docosenoic acid; cis-Docos-11-en..."
387,22:1-delta-13c,"13-Docosenoic acid, (13Z)-; Erucic acid; 13-Docosenoic acid, (Z)-; (13Z)-Docosenoic acid; (Z)-13-Docosenoic acid; (Z)-Erucic acid; 13(Z)-Docosenoic acid; 13-cis-Docosenoic aci..."
388,22:1-delta-13t,"13-Docosenoic acid, (13E)-; 5,8,11,14-all-cis-Eicosatetraenoic acid"
389,22:1-delta-17c,"17-Docosenoic acid, (17Z)-; N/A"
390,22:1-delta-15c,"15-Docosenoic acid, (15Z)-; 15-Docosenoic acid, (Z)-; (Z)-15-Docosenoic acid; 15Z-Docosenoic acid; C22:1-omega-7; cis-15-Docosenoic acid"
391,22:1-delta-5c,"5-Docosenoic acid, (5Z)-; 5-Docosenoic acid, (Z)-; cis-5-Docosenoic acid"
392,22:0,Docosanoic acid; Behenic acid; 1-Docosanoic acid; B 95; B 95 (acid); Behenic acid; EXL 5; n-Docosanoic acid
393,20-Me-21:0,"Heneicosanoic acid, 20-methyl-; structure ambiguous: double bond configuration and position not specified"
394,,"Octadecanoic acid, 8,10-dimethoxy-"
395,23:1-delta-9c,"9-Tricosenoic acid, (9Z)-"
396,"13,14-cpa-23:0","Cyclopropanedodecanoic acid, 2-octyl-"
397,OH-22:1,Hydroxydocosenoic acid; structure ambiguous
398,OH-22:1-delta-17c,Hydroxydocos-17c-enoic acid; structure ambiguous
399,23:0,Tricosanoic acid; 22FA; Tricosylic acid; n-Tricosanoic acid
400,OH-22:0,Hydroxydocosanoic acid; structure ambiguous
401,"CN-III-18:3-9c,12c,15c","Octadec-9Z,12Z-dienoic acid, 3-cyano-2-methyl-2-propen-1-yl ester; Type III cyanolipid 18:3 ester"
402,"CN-III-18:2-delta-9c,12c","Octadec-9Z-enoic acid, 3-cyano-2-methyl-2-propen-1-yl ester; Type III cyanolipid 18:2 ester"
403,CN-III-18:1-delta-9c,"Octadec-9Z-enoic acid, 3-cyano-2-methyl-2-propen-1-yl ester; Type III cyanolipid 18:1 ester"
404,CN-III-18:1-delta-11c,"Octadec-11Z-enoic acid, 3-cyano-2-methyl-2-propen-1-yl ester; Type III cyanolipid 18:1 ester"
405,"24:3-delta-12c,15c,18c","12,15,18-Tetracosatrienoic acid, (12Z,15Z,18Z)-; 12,15,18-Tetracosatrienoic acid, (Z,Z,Z)-"
406,"24:3-delta-15c,18c,21c","15,18,21-Tetracosatrienoic acid, (15Z,18Z,21Z)-; 15,18,21-Tetracosatrienoic acid, (Z,Z,Z)-"
407,CN-III-18:0,"Octadecanoic acid, 3-cyano-2-methyl-2-propen-1-yl ester; Type III cyanolipid 18:0 ester"
408,24:2,Tetracosadienoic acid; structure ambiguous
409,"24:2-delta-15c,18c","15,18-Tetracosadienoic acid, (Z,Z)-; -delta-15,18-Tetracosadienoic acid"
410,24:1,Tetracosenoic acid; ambiguous structure
411,24:1-delta-15c,"15-Tetracosenoic acid, (15Z)-; Nervonic acid; 15-Tetracosenoic acid, (Z)-; 15-Tetracosenoic acid, cis-; (15Z)-Tetracosenoic acid; (Z)-15-Tetracosenoic acid; Nervonic acid; Nevoni..."
412,24:1-delta-19c,"19-Tetracosenoic acid, (19Z)-; N/A"
413,24:1-delta-17c,"17-Tetracosenoic acid, (Z)-"
414,24:1-delta-13,13-Tetracosenoic acid
415,24:0,Tetracosanoic acid; Lignoceric acid; n-Tetracosanoic acid
416,21-COOH-21:0,"Docosanedioic acid; Phellogenic acid; 1,20-Eicosanedicarboxylic acid; 1,22-Docosanedioic acid; Docosan-1,22-dioic acid; Felogenic acid; NSC 56159; Phellogenic acid"
417,"13,14-di-OH-22:0","Docosanoic acid, 13,14-dihydroxy-; 13,14-Dihydroxybehenic acid"
418,15-O=24:1-delta-18c,"18-Tetracosenoic acid, 15-oxo-, (Z)- (8CI)"
419,25:1-delta-16Z,"16-pentacosenoic acid, (16Z)-; 16Z-pentacosenoic acid; C25:1n-9; (Z)-17-Pentacosenoic acid; (Z)-pentacos-16-enoic acid"
420,OH-24:1-delta-19c,Hydroxytetracos-19c-enoic acid; structure ambiguous
421,25:0,Pentacosanoic acid; Hyenic acid; n-Pentacosanoic acid
422,OH-24:0,Hydroxytetracosanoic acid; structure ambiguous
423,"CN-IV-20:2-delta-11c,14c","(1-cyano-2-methylprop-2-enyl) eicos-11Z,14Z-dienoate; Type IV cyanolipid 20:2 ester"
424,CN-III-20:1-delta-11c,"Eicos-11Z-enoic acid, 3-cyano-2-methyl-2-propenyl ester; Type III cyanolipid 20:1 ester"
425,CN-III-20:1-delta-13c,"Eicos-13Z-enoic acid, 3-cyano-2-methyl-2-propenyl ester; Type III cyanolipid 20:1 ester"
426,CN-IV-20:1-delta-13c,(1-cyano-2-methylprop-2-enyl) eicos-13Z-enoate; Type IV cyanolipid 20:1 ester
427,CN-III-20:0,"Eicosanoic acid, 3-cyano-2-methyl-2-propen-1-yl ester; Type III cyanolipid 20:0 ester"
428,26:1,Hexacosenoic acid; structure ambiguous
429,26:1-delta-17c,"17-Hexacosenoic acid, (17Z)-; Ximenic acid; 17-Hexacosenoic acid, (Z)-; (Z)-17-Hexacosenoic acid; cis-17-Hexacosenoic acid; Ximenic acid"
430,26:1-delta-21c,"21-Hexacosenoic acid, (21Z)-; 21-Hexacosenoic acid, (Z)-"
431,26:0,Hexacosanoic acid; Cerotic acid; Cerotic acid; Ceratinic acid; Ceric acid; Cerinic acid; Cerylic acid; NSC 4205; n-Hexacosanoic acid
432,"7,18-di-OH-24:2-delta-15c,21c","(7R,15Z,18R,21Z)-7,18-dihydroxytetracosa-15,21-dienoic acid; Wuhanic acid; 7,18-Dihydroxy-15,21-tetracosedienoic acid, (15Z,21Z)-"
433,"7,18-di-OH-24:1-delta-15c","(7R,18R)-7,18-dihydroxy-15-tetracosenoic acid, (15Z)-; Nebraskanic acid; 7,18-Dihydroxy-15-tetracosenoic acid, (15Z)-"
434,27:1-delta-18,"18-heptacosenoic acid, (18Z)-"
435,OH-26:1-delta-21c,Hydroxyhexacos-21c-enoic acid; structure ambiguous
436,27:0,Heptacosanoic acid; Carboceric acid
437,OH-26:0,Hydroxyhexacosanoic acid; structure ambiguous
438,"15,16-di-OH-24:0","Tetracosanoic acid, 15,16-dihydroxy-, methyl ester"
439,CN-III-22:1-delta-13c,"Docos-13Z-enoic acid, 3-cyano-2-methyl-2-propenyl ester; Type III cyanolipid 22:1 ester"
440,CN-III-22:0,"Docosanoic acid, 3-cyano-2-methyl-2-propenyl ester; Type III cyanolipid 22:0 ester"
441,17-O=26:1-delta-20c,"20-Hexacosenoic acid, 17-oxo-, methyl ester, (Z)-"
442,28:1-delta-23c,"23-Octacosenoic acid, (Z)-"
443,28:1,Octacosenoic acid; ambiguous structure
444,28:0,Octacosanoic acid; Montanic acid; Montanic acid; n-Octacosanoic acid
445,19-O=28:1-delta-22c,"22-Octacosenoic acid, 19-oxo-, (Z)- (8CI)"
446,29:1-delta-20c,"20-nonacosenoic acid, (20Z)-; (Z)-20-Nonacosenoic acid; (20Z)-NONACOS-20-ENOIC ACID"
447,OH-28:1-delta-23c,Hydroxyoctacos-23c-enoic acid; structure ambiguous
448,9-O=28:0,"Octacosanoic acid, 9-oxo-"
449,11-O=28:0,"Octacosanoic acid, 11-oxo-; 11-Oxo-Octacosanoic acid"
450,29:0,Nonacosanoic acid; n-Nonacosanoic acid
451,30:1-delta-21c,"21-Triacontenoic acid, (21Z)-; 21-Triacontenoic acid, (Z)-; Lumequeic acid"
452,30:1,Triacontenoic acid; Structure ambiguous (double bond position and configuration)
453,30:0,Triacontanoic acid; Melissic acid; Melissic acid; Myricic acid; NSC 53832; n-Triacontanoic acid
454,31:1-delta-22c,"22-Hentriacontenoic acid, (22Z)-"
455,OH-30:1-delta-25c,Hydroxytriacont-25c-enoic acid; structure ambiguous
456,31:0,Hentriacontanoic acid
457,11-O=30:0,"Triacontanoic acid, 11-oxo-; 11-Oxotriacontanoic acid"
458,6-OH-6-Me-9=O-28:0,"Octacosanoic acid, 6-hydroxy-6-methyl-9-oxo-; Argemonic acid; Argemonic acid"
459,32:1,Dotriacontenoic acid; Structure ambiguous (double bond position and configuration)
460,32:0,Dotriacontanoic acid; Lacceric acid; Lacceroic acid; n-Dotriacontanoic acid
461,34:1-delta-25c,"25-Tetratriacontenoic acid, (25Z)-; 25-Tetratriacontenoic acid, (Z)-; Tetratriacont-25-enoic acid"
462,34:0,Tetratriacontanoic acid; Geddic acid; Gheddic acid; Ghedoic acid
463,CN-I-16:0,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-hexadecanoate; Type I cyanolipid 16:0, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
464,CN-II-16:0,"Hexadecanoic acid, 3-​cyano-​2-​[[(1-​oxo-​hexadecanyl)​oxy]​methyl]​-​2-​propenyl ester; Type II cyanolipid 16:0, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
465,"CN-I-18:3-delta-9c,12c,15c","2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-octadec-9Z,12Z,15Z-trienoate; Type I cyanolipid 18:3, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
466,"CN-II-18:3-9c,12c,15c","Octadec-9Z,12Z,15Z-trienoic acid, 3-​cyano-​2-​[[(1-​oxo-​octadec-9Z,12Z,15Z-trienyl)​oxy]​methyl]​-​2-​propenyl ester; Type II cyanolipid 18:3, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
467,"CN-I-18:2-delta-9c,12c","2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-octadec-9Z,12Z-dienoate; Type I cyanolipid 18:2, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
468,"CN-II-18:2-delta-9c,12c","Octadec-9Z,12Z-dienoic acid, 3-​cyano-​2-​[[(1-​oxo-​octadec-9Z,12Z-dienyl)​oxy]​methyl]​-​2-​propenyl ester; Type II cyanolipid 18:2, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
469,CN-I-18:1-delta-9c,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-octadec-9Z-enoate; Type I cyanolipid 18:1, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
470,CN-I-18:1-delta-11c,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-octadec-11Z-enoate; Type I cyanolipid 18:1, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
471,CN-II-18:1-delta-9c,"Octadec-9Z-enoic acid, 3-​cyano-​2-​[[(1-​oxo-​octadec-9Z-enyl)​oxy]​methyl]​-​2-​propenyl ester; Type II cyanolipid 18:1, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
472,CN-I-18:0,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-octadecanoate; Type I cyanolipid 18:0, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
473,CN-II-18:0,"Octadecanoic acid, 3-​cyano-​2-​[[(1-​oxo-​octadecanyl)​oxy]​methyl]​-​2-​propenyl ester; Type II cyanolipid 18:0, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
474,CN-I-20:1-delta-11c,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-eicos-11Z-enoate; Type I cyanolipid 20:1, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
475,CN-I-20:1-delta-13c,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-eicos-13Z-enoate; Type I cyanolipid 20:1, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
476,CN-II-20:1-delta-11c,"Eicos-11Z-enoic acid, 3-​cyano-​2-​[[(1-​oxo-​eicos-11Z-enyl)​oxy]​methyl]​-​2-​propenyl ester; Type II cyanolipid 20:1, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
477,CN-I-20:0,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-eicosanoate; Type I cyanolipid 20:0, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
478,CN-II-20:0,"Eicosanoic acid, 3-​cyano-​2-​[[(1-​oxo-​eicosanyl)​oxy]​methyl]​-​2-​propenyl ester; Type II cyanolipid 20:0, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
479,11-OH-33:0,"Tritriacontanoic acid, 11-hydroxy-, decyl ester; Decyl 11-hydroxytritriacontanoate"
480,CN-I-22:1-delta-13c,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-docos-13Z-enoate; Type I cyanolipid 22:1, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
481,CN-I-22:0,"2-[cyano-[hexadecanoyl]oxymethyl]prop-2-enyl-docosanoate; Type I cyanolipid 22:0, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
482,CN-II-22:0,"Docosanoic acid, 3-​cyano-​2-​[[(1-​oxo-​Docosanyl)​oxy]​methyl]​-​2-​propenyl ester; Type II cyanolipid 22:0, XX:X diester; Position of acyl chains not defined and structure ambiguous for 2nd acyl chain"
483,Allene:undefined,allenic fatty acids; structure ambiguous
484,18:2n-4/19:0,18:2n-4/19:0; Ambiguous
485,conjugated dienoic:undefined,conjugated dienoic:undefined; structure ambiguous
486,conjugated trienoic:undefined,conjugated trienoic:undefined; structure ambiguous
487,Epoxy:undefined,epoxy acids; structure ambiguous
488,Hydroxy,hydroxy acids; structure ambiguous
489,Trans:undefined,trans acids; structure ambiguous
490,saturated:undefined,saturated acids; structure ambiguous
491,unsaturated:undefined,unsaturated acids; structure undefined
492,Dihydroxy:undefined,Dihydroxy acids; structure ambiguous
493,Keto:undefined,Ketoacids; structure ambiguous
494,Trienoic:undefined,trienoic acids; structure ambiguous
